,Média,Mediana,Max,Min
0,3.6,4.0,4.0,3.0
1,3.6,4.0,4.0,3.0
2,3.6,4.0,4.0,3.0
3,3.6,4.0,4.0,3.0
4,3.6,4.0,4.0,3.0
5,3.6,4.0,4.0,3.0
6,3.6,4.0,4.0,3.0
7,3.6,4.0,4.0,3.0
8,3.6,4.0,4.0,3.0
9,3.6,4.0,4.0,3.0
10,3.6,4.0,4.0,3.0
11,3.6,4.0,4.0,3.0
12,3.6,4.0,4.0,3.0
13,3.6,4.0,4.0,3.0
14,3.6,4.0,4.0,3.0
15,3.6,4.0,4.0,3.0
16,3.6,4.0,4.0,3.0
17,3.6,4.0,4.0,3.0
18,3.6,4.0,4.0,3.0
19,3.6,4.0,4.0,3.0
20,7.8,8.0,9.0,3.0
21,7.8,8.0,9.0,3.0
22,7.8,8.0,9.0,3.0
23,7.8,8.0,9.0,3.0
24,7.8,8.0,9.0,3.0
25,7.8,8.0,9.0,3.0
26,7.8,8.0,9.0,3.0
27,7.8,8.0,9.0,3.0
28,7.8,8.0,9.0,3.0
29,7.8,8.0,9.0,3.0
30,7.8,8.0,9.0,3.0
31,7.8,8.0,9.0,3.0
32,7.8,8.0,9.0,3.0
33,7.8,8.0,9.0,3.0
34,7.8,8.0,9.0,3.0
35,7.8,8.0,9.0,3.0
36,7.8,8.0,9.0,3.0
37,7.8,8.0,9.0,3.0
38,7.8,8.0,9.0,3.0
39,7.8,8.0,9.0,3.0
40,22.32,23.0,24.0,3.0
41,22.32,23.0,24.0,3.0
42,22.32,23.0,24.0,3.0
43,22.32,23.0,24.0,3.0
44,22.32,23.0,24.0,3.0
45,22.32,23.0,24.0,3.0
46,22.32,23.0,24.0,3.0
47,22.32,23.0,24.0,3.0
48,22.32,23.0,24.0,3.0
49,22.32,23.0,24.0,3.0
50,22.32,23.0,24.0,3.0
51,22.32,23.0,24.0,3.0
52,22.32,23.0,24.0,3.0
53,22.32,23.0,24.0,3.0
54,22.32,23.0,24.0,3.0
55,22.32,23.0,24.0,3.0
56,22.32,23.0,24.0,3.0
57,22.32,23.0,24.0,3.0
58,22.32,23.0,24.0,3.0
59,22.32,23.0,24.0,3.0
60,47.16,48.0,49.0,3.0
61,47.16,48.0,49.0,3.0
62,47.16,48.0,49.0,3.0
63,47.16,48.0,49.0,3.0
64,47.16,48.0,49.0,3.0
65,47.16,48.0,49.0,3.0
66,47.16,48.0,49.0,3.0
67,47.16,48.0,49.0,3.0
68,47.16,48.0,49.0,3.0
69,47.16,48.0,49.0,3.0
70,47.16,48.0,49.0,3.0
71,47.16,48.0,49.0,3.0
72,47.16,48.0,49.0,3.0
73,47.16,48.0,49.0,3.0
74,47.16,48.0,49.0,3.0
75,47.16,48.0,49.0,3.0
76,47.16,48.0,49.0,3.0
77,47.16,48.0,49.0,3.0
78,47.16,48.0,49.0,3.0
79,47.16,48.0,49.0,3.0
80,97.08,98.0,99.0,3.0
81,97.08,98.0,99.0,3.0
82,97.08,98.0,99.0,3.0
83,97.08,98.0,99.0,3.0
84,97.08,98.0,99.0,3.0
85,97.08,98.0,99.0,3.0
86,97.08,98.0,99.0,3.0
87,97.08,98.0,99.0,3.0
88,97.08,98.0,99.0,3.0
89,97.08,98.0,99.0,3.0
90,97.08,98.0,99.0,3.0
91,97.08,98.0,99.0,3.0
92,97.08,98.0,99.0,3.0
93,97.08,98.0,99.0,3.0
94,97.08,98.0,99.0,3.0
95,97.08,98.0,99.0,3.0
96,97.08,98.0,99.0,3.0
97,97.08,98.0,99.0,3.0
98,97.08,98.0,99.0,3.0
99,97.08,98.0,99.0,3.0
