,Média,Mediana,Max,Min
0,0.0,0.0,0.0,0.0
1,0.4,0.0,1.0,0.0
2,0.4,0.0,1.0,0.0
3,0.4,0.0,1.0,0.0
4,0.8,1.0,1.0,0.0
5,1.2,1.0,2.0,0.0
6,1.6,2.0,3.0,0.0
7,2.0,2.0,3.0,1.0
8,0.8,1.0,1.0,0.0
9,2.0,2.0,3.0,1.0
10,2.4,3.0,3.0,1.0
11,3.6,4.0,4.0,3.0
12,2.8,3.0,4.0,2.0
13,3.6,4.0,4.0,3.0
14,2.8,3.0,4.0,1.0
15,2.8,3.0,4.0,2.0
16,3.2,3.0,4.0,2.0
17,3.2,3.0,4.0,2.0
18,4.0,4.0,4.0,4.0
19,4.0,4.0,4.0,4.0
20,0.8,0.5,2.0,0.0
21,1.0,1.0,2.0,0.0
22,0.6,0.5,2.0,0.0
23,1.4,1.0,3.0,0.0
24,2.0,2.0,3.0,0.0
25,1.2,1.0,3.0,0.0
26,2.8,2.5,5.0,1.0
27,2.6,3.0,4.0,1.0
28,4.6,4.5,8.0,2.0
29,4.6,4.5,6.0,3.0
30,5.0,5.0,9.0,2.0
31,6.0,6.0,8.0,5.0
32,5.8,6.0,8.0,4.0
33,6.0,6.0,8.0,4.0
34,6.6,7.0,8.0,5.0
35,6.8,7.0,8.0,4.0
36,7.4,7.0,9.0,6.0
37,7.4,8.0,9.0,5.0
38,8.4,8.5,9.0,7.0
39,9.0,9.0,9.0,9.0
40,1.04,1.0,3.0,0.0
41,2.08,2.0,8.0,1.0
42,3.68,4.0,7.0,1.0
43,4.32,4.0,10.0,2.0
44,5.68,6.0,11.0,1.0
45,6.88,6.0,11.0,2.0
46,7.84,7.0,14.0,4.0
47,9.04,9.0,14.0,6.0
48,10.88,11.0,16.0,6.0
49,11.92,12.0,19.0,7.0
50,14.0,13.0,20.0,9.0
51,14.08,13.0,18.0,10.0
52,16.0,15.0,22.0,13.0
53,16.72,17.0,22.0,11.0
54,17.52,17.0,21.0,15.0
55,18.56,19.0,22.0,14.0
56,20.0,20.0,22.0,15.0
57,20.64,21.0,24.0,17.0
58,22.4,22.0,24.0,20.0
59,24.0,24.0,24.0,24.0
60,2.64,2.5,8.0,0.0
61,3.88,4.0,7.0,1.0
62,7.48,8.0,13.0,1.0
63,10.12,10.0,14.0,6.0
64,12.68,13.0,19.0,7.0
65,14.76,14.0,22.0,10.0
66,16.0,16.0,23.0,10.0
67,19.92,21.0,26.0,10.0
68,22.52,22.0,31.0,14.0
69,25.68,25.0,34.0,19.0
70,27.36,28.0,33.0,20.0
71,28.08,28.0,35.0,22.0
72,31.56,31.0,38.0,25.0
73,34.56,34.0,41.0,28.0
74,36.52,36.0,42.0,30.0
75,39.4,39.0,46.0,33.0
76,41.08,41.0,45.0,33.0
77,43.88,44.0,48.0,36.0
78,47.04,47.0,49.0,42.0
79,49.0,49.0,49.0,49.0
80,4.86,5.0,11.0,1.0
81,9.74,10.0,15.0,3.0
82,15.24,15.0,26.0,7.0
83,20.18,20.0,30.0,12.0
84,25.62,25.0,37.0,16.0
85,29.76,30.0,41.0,21.0
86,34.86,35.0,44.0,23.0
87,39.6,39.0,48.0,23.0
88,44.16,44.0,57.0,28.0
89,49.48,49.5,64.0,35.0
90,54.74,55.0,68.0,43.0
91,59.88,60.0,70.0,48.0
92,64.06,64.0,76.0,52.0
93,68.52,68.0,80.0,59.0
94,73.6,74.0,84.0,59.0
95,79.5,80.0,89.0,69.0
96,83.94,84.0,93.0,75.0
97,88.98,89.0,95.0,83.0
98,93.7,94.0,98.0,89.0
99,99.0,99.0,99.0,99.0
